Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чайка,Христина,Дмитрівна,Жіноча,01.06.2007,Фермер,село Чистякове,"шосе Гена Іоганна, буд. 98, Городок, 34105",756 31 81,tykhyiruslan@example.com
Василашко,Маруся,Петрівна,Жіноча,04.10.1989,Підприємець,хутір Шепетівка,"проспект Молодіжна, буд. 98, Баштанка, 20271",052 718-72-63,stepanchaban@example.net
Яценюк,Володимир,Петрович,Чоловіча,08.04.1965,Головний меркшейдер,село Новомиргород,"сквер Приморський, буд. 24 кв. 03, Сарни, 71321",+380 76 855 67 60,wskoryk@example.com
Свириденко,Софія,Іванівна,Жіноча,13.09.1951,Менеджер,селище Хоростків,"парк Пантелеймонівська, буд. 26 кв. 67, Корюківка, 86458",+380 (95) 539-20-91,vitaliibazylevskyi@example.net
Артим,Григорій,Володимирович,Чоловіча,17.10.1970,Мірошник,хутір Олександрія,"проспект Лінійна, буд. 0 кв. 6, Авдіївка, 83090",+380 03 659-42-48,ihorakulenko@example.org
Гупало,Надія,Андріївна,Жіноча,20.12.1984,Математик,село Дружба ,"площа Туристська, буд. 550, Радехів, 47539",070 822 10 41,vvasylenko@example.org
Дрозд,Маруся,Володимирівна,Жіноча,10.09.1946,Фрілансер,село Чернігів,"провулок Утьосова, буд. 9 кв. 7, Чоп, 87918",917 06 03,avreliionyshchenko@example.net
Бабенко,Валерій,Дмитрович,Чоловіча,21.09.1945,Електрослюсар,село Мена ,"вулиця Івана Франка, буд. 12, Іловайськ, 85153",023 133-53-47,liudmylanazarenko@example.net
Доценко,Гаврило,Петрович,Чоловіча,21.02.2004,Публіцист,село Хмельницький,"узвіз Кипарисний 1-й, буд. 4 кв. 70, Каховка, 57147",049 648-55-34,albert44@example.com
Іщенко,Роман,Сергійович,Чоловіча,21.08.1947,Палеонтолог,місто Хрустальний,"парк Змієнка Всеволода, буд. 344, Довжанськ, 16127",045 703-19-07,prytulabohodar@example.com
Гупало,Владислав,Дмитрович,Чоловіча,24.07.1951,Штукатур,село Пустомити,"сквер Польовий 1-й, буд. 399 кв. 511, Волноваха, 99743",+380 (60) 420-71-30,haievskyivira@example.org
Бабʼяк,Вʼячеслав,Іванович,Чоловіча,10.01.1938,Вчитель,селище Новодністровськ,"площа Чернігівська, буд. 1, Арциз, 02171",+380 93 333-35-96,hordiizaporozhets@example.com
Гаєвський,Єва,Дмитрівна,Жіноча,01.03.1975,Льотчик,селище Кадіївка,"сквер Восьмого Березня Лінія 3-тя, буд. 08 кв. 37, Золоте, 37127",+380 (29) 117-71-23,kzasukha@example.net
Охримович,Роман,Олександрович,Чоловіча,22.05.1959,Хімік,хутір Городище ,"сквер Миколи Вороного, буд. 51 кв. 972, Перещепине, 36470",+380 92 996 00 96,stepan51@example.com
Медведенко,Олесь,Дмитрович,Чоловіча,28.08.1956,Клавішник,місто Липовець,"вулиця Матроський узвіз, буд. 0, Авдіївка, 82096",+380 15 207-94-90,rudkovitalii@example.net
Байдак,Єлисавета,Єгорівна,Жіноча,22.01.1940,Флорист,селище Тульчин,"узвіз Єлісаветинська, буд. 724 кв. 027, Родинське, 13370",+380 51 031 89 26,irena83@example.net
Худяк,Святослав,Михайлович,Чоловіча,25.04.1938,Льотчик,місто Тараща,"сквер Совіньйонівський, буд. 64 кв. 9, Новоукраїнка, 50104",603-15-25,kamilla21@example.com
Шинкаренко,Оксана,Олександрівна,Жіноча,14.09.2006,Будник,селище Рубіжне,"провулок Донцова Дмитра, буд. 00, Снятин, 68332",+380 62 577-41-75,andriievychanastasiia@example.org
Литвиненко,Єлисавета,Єгорівна,Жіноча,07.08.1999,Кінолог,селище Ніжин,"площа Разумовська, буд. 96, Яремче, 35949",+380 (28) 833-19-34,nestor73@example.net
Бевз,Віра,Андріївна,Жіноча,12.07.1938,Льотчик,місто Тернопіль,"вулиця Метрополітенівський, буд. 8, Узин, 92470",294-72-36,alevtynshmorhun@example.net
Черненко,Ірина,Олександрівна,Жіноча,10.04.1992,Клавішник,селище Пирятин,"набережна Головківська, буд. 3, Українськ, 62256",072 863-35-31,vasylenkookseniia@example.org
Мазур,Ростислав,Сергійович,Чоловіча,01.12.1986,Детектив,селище Мостиська,"вулиця Зелена, буд. 465, Борзна, 05123",054-04-83,ruslankarmaliuk@example.net
Алексеєнко,Леопольд,Сергійович,Чоловіча,10.08.1964,Співак,село Тальне,"шосе Азовський, буд. 57, Федорівка, 74651",358 55 88,qhrechko@example.com
Гресь,Одарка,Петрівна,Жіноча,21.12.1944,Архітектор,село Кальміуське,"набережна Скляний 3-й, буд. 6, Путивль, 38697",+380 10 135-05-79,iukhym17@example.net
Байдак,Вʼячеслав,Миколайович,Чоловіча,03.10.2004,Громадський діяч,селище Семенівка,"вулиця Люстдорфська дорога, буд. 27, Білицьке, 96916",468-47-68,mbazylevych@example.com
Ярош,Роксолана,Михайлівна,Жіноча,22.11.1948,Парфюмер,хутір Суходільськ,"узвіз 13-та ст. Великого Фонтану пляж, буд. 329, Сулимівка (Слов'янськ), 66712",+380 96 380-65-00,anzhelaarkhypenko@example.org
Чорновіл,Пилип,Іванович,Чоловіча,07.12.1952,Модельєр,місто Старий Самбір,"парк Безіменний, буд. 2 кв. 282, Новгород-Сіверський, 11001",+380 53 942-29-28,erikamazepa@example.net
Гук,Євген,Андрійович,Чоловіча,16.04.1996,Клоун,селище Дебальцеве,"вулиця Березова, буд. 7 кв. 3, Лубни, 23639",224 60 39,dhohol@example.net
Ящук,Степан,Іванович,Чоловіча,25.12.1946,Педагог,місто Переяслав,"набережна Лиманчик 2-й Лінія 8-ма, буд. 29, Коломия, 52134",+380 21 092-15-42,myronpavlenko@example.net
Фаренюк,Еріка,Михайлівна,Жіноча,21.02.1989,Ветеринар,хутір Алмазна,"провулок Ванний, буд. 428 кв. 544, Бунге , 63432",213 34 89,klyment74@example.com
Оліфіренко,Пилип,Дмитрович,Чоловіча,25.07.1960,Співак,хутір Енергодар,"шосе 9-та Суворовська, буд. 01, Балаклія, 33459",+380 84 020 58 30,borysteslenko@example.com
Яковенко,Богодар,Дмитрович,Чоловіча,02.06.1947,Кінорежисер,місто Бібрка,"шосе Тінистий, буд. 04, Перевальськ, 03477",+380 83 938 13 43,iefremsliusar@example.com
Чміль,Вікторія,Єгорівна,Жіноча,14.04.1974,Флорист,місто Новий Калинів,"парк Дубова, буд. 08 кв. 790, Охтирка, 90949",+380 10 391-41-37,zprytula@example.net
Лаба,Алевтин,Єгорович,Чоловіча,19.03.1984,Математик,місто Маріуполь,"провулок Керченський 1-й, буд. 693 кв. 06, Тульчин, 79636",041 416 47 87,nosachenkoteodor@example.net
Слюсар,Давид,Петрович,Чоловіча,25.11.1968,Машиніст,селище Ізюм,"набережна Деволанівський узвіз, буд. 7, Зоринськ, 85949",+380 34 170-88-80,zlatoslava14@example.org
Скорик,Амвросій,Сергійович,Чоловіча,01.12.1965,Біолог,місто Червоносів,"узвіз Лиманна, буд. 20 кв. 0, Валки , 79420",096 038-24-94,klymentkarpenko@example.com
Яремчук,Пилип,Михайлович,Чоловіча,18.03.1997,Науковець,селище Рені,"сквер Кострова, буд. 4, Золочів, 26209",018 307 86 85,kamillavakhnii@example.net
Ющенко,Наталія,Іванівна,Жіноча,19.04.1952,Головний меркшейдер,селище Луганськ,"шосе Миколи Вороного, буд. 106 кв. 3, Бунге , 60303",047 886 43 25,lahodaliliia@example.net
Карпенко,Михайлина,Іванівна,Жіноча,27.10.1966,Етнограф,хутір Канів,"вулиця Чумацька, буд. 88 кв. 43, Зимогір'я, 67791",+380 13 379 63 72,babiichukamaliia@example.net
Вергун,Микита,Михайлович,Чоловіча,09.04.1989,Режисер,місто Українка ,"набережна Володимира Хавкіна, буд. 800, Олевськ, 08151",+380 (88) 148-72-03,avrelii74@example.org
Пушкар,Олена,Михайлівна,Жіноча,28.11.1938,Гінеколог,хутір Татарбунари,"провулок Самарська, буд. 00 кв. 27, Фастів, 30710",+380 (72) 660-33-68,tpushkar@example.net
Ґоляш,Миколай,Андрійович,Чоловіча,07.02.1959,Перекладач,хутір Авдіївка,"вулиця Моторний 3-й, буд. 97 кв. 26, Мелітополь, 20723",+380 92 007-54-46,onysym51@example.org
Дейнеко,Ольга,Володимирівна,Жіноча,30.09.1945,Сантехнік,село Галич,"провулок Рєпіна, буд. 2 кв. 9, Щолкіне, 64111",+380 57 527-45-08,orkhyp25@example.net
Ґерус,Леонід,Єгорович,Чоловіча,30.01.1950,Кінокритик,селище Камінь-Каширський,"сквер Іванова Ігоря, буд. 34, Фастів, 60224",+380 14 821 69 28,iefremshevchenko@example.net
Терещук,Ярема,Олександрович,Чоловіча,16.06.1995,Мистецтвознавець,село Тернівка ,"шосе Слави, буд. 56 кв. 2, Старокостянтинів, 79917",+380 (47) 118-40-69,panteleimon45@example.net
Верменич,Георгій,Миколайович,Чоловіча,14.01.1997,Флорист,хутір Люботин,"провулок 2-га Суворовська, буд. 164, Мала Виска, 32650",+380 99 913-17-63,venedykt16@example.net
Заєць,Аркадій,Михайлович,Чоловіча,02.08.1960,Публіцист,хутір Рубіжне,"узвіз Наявний 6-й, буд. 4, Красилів, 08159",+380 (34) 864-88-28,anitachubai@example.net
Рябовіл,Златослава,Іванівна,Жіноча,28.04.2008,Державний службовець,хутір Білицьке,"узвіз Камишова, буд. 96, Курахове, 68374",+380 (80) 332-77-04,hishchenko@example.com
Закусило,Єфрем,Іванович,Чоловіча,12.07.1960,Шериф,хутір Олешки,"узвіз Сонячна, буд. 198, Львів, 57142",+380 96 149-16-80,orlykihor@example.net
Вівчаренко,Богданна,Дмитрівна,Жіноча,05.09.1964,Електротехнік,селище Саки ,"узвіз Одеська, буд. 38, Балта, 05612",+380 63 494 14 59,priskatsushko@example.net
Андріїшин,Єлисавета,Володимирівна,Жіноча,23.12.1984,Кінорежисер,село Старобільськ,"узвіз Базарна, буд. 81, Географія Вільнянська, 01763",+380 25 697-16-72,krebryk@example.com
Стельмах,Маруся,Михайлівна,Жіноча,20.11.1999,Історик,село Угнів,"парк Воронцовський, буд. 5, Горішні Плавні, 70033",+380 10 045-39-41,czaika@example.net
Журба,Омелян,Іванович,Чоловіча,20.06.1991,Математик,місто Новоазовськ,"узвіз Грузовий, буд. 63 кв. 706, Красилів, 02307",701 51 85,valentyn64@example.net
Ейбоженко,Назар,Миколайович,Чоловіча,23.07.1997,Реабілітолог,селище Решетилівка,"проспект Калинова, буд. 5 кв. 0, Червоносів, 01316",+380 (90) 155-91-22,virazasukha@example.org
Тесля,Демид,Михайлович,Чоловіча,17.11.1977,Детектив,село Новодністровськ,"сквер Колекційна, буд. 72, Рожище, 43477",247-18-62,demiangerus@example.net
Дубина,Ярослава,Олександрівна,Жіноча,18.03.2007,Петрограф,місто Прип'ять ,"шосе Самарська, буд. 20 кв. 3, Сміла, 72804",+380 11 379-17-24,ivanhutsuliak@example.net
Абрагамовський,Вʼячеслав,Михайлович,Чоловіча,21.12.1972,Швачка,село Хмільник,"парк Флотський 2-й, буд. 9, Лутугине, 94803",+380 00 442 94 77,roksolanashvachko@example.net
Худобʼяк,Віра,Миколаївна,Жіноча,01.10.1985,Детектив,селище Хотин,"набережна Маловського, буд. 6 кв. 54, Святогірськ, 57293",007 692 96 21,opanasenkodaryna@example.org
Іванченко,Єфрем,Єгорович,Чоловіча,27.09.2003,Підприємець,хутір Пологи ,"сквер Творча, буд. 1, Підгородне, 41851",+380 93 818-90-45,shynkarenkorostyslav@example.com
Артимович,Веніямин,Сергійович,Чоловіча,18.08.1948,Науковець,місто Перемишляни,"провулок Рівний, буд. 7 кв. 236, Батурин, 08149",+380 95 204-70-67,eizhak@example.net
Баштан,Ярослава,Миколаївна,Жіноча,24.06.1940,Програміст,хутір Новоселиця,"узвіз Щоголєва, буд. 44, Теплодар, 79285",+380 85 382 19 35,vatamaniuktetiana@example.net
Ющенко,Єва,Дмитрівна,Жіноча,14.08.1999,Археолог,хутір Петрово-Красносілля,"провулок Проектний 5-й, буд. 875 кв. 78, Генічеськ, 93693",+380 49 069 15 43,stetsmarta@example.net
Носенко,Христина,Петрівна,Жіноча,16.10.1965,Медик,хутір Дунаївці,"шосе Раїси Сергієнко, буд. 211 кв. 180, Болехів, 14483",312 92 85,tsymbaldavyd@example.com
Дергач,Богуслав,Іванович,Чоловіча,12.03.1953,Кушнір,село Ніжин,"узвіз Сливова, буд. 599 кв. 0, Одеса, 75221",+380 38 082-74-98,arkadii88@example.net
Василашко,Ярослав,Володимирович,Чоловіча,23.07.1991,Ді-джей,селище Балта,"сквер Лінія 25-та, буд. 8 кв. 6, Козятин, 30018",384 13 96,varfolomii04@example.org
Баран,Леонтій,Михайлович,Чоловіча,18.08.1991,Кіноактор,місто Добромиль,"проспект Васнецова, буд. 78, Бібрка, 92075",495-86-86,dzhusrozaliia@example.org
Гречаник,Ярина,Андріївна,Жіноча,16.11.1965,Локсмайстер,селище Бахмач,"площа Рівності 2-й, буд. 25, Кремінна, 53058",+380 (78) 646-75-53,aleksiichukiakiv@example.net
Зайченко,Оксана,Іванівна,Жіноча,22.01.1988,Євнух,хутір Жмеринка,"вулиця Дельфін, буд. 53 кв. 456, Хрестівка, 13863",013 490-16-61,oleksandr63@example.org
Штепа,Степан,Володимирович,Чоловіча,22.07.1956,Секретар,хутір Старий Самбір,"шосе Костанді, буд. 1 кв. 1, Березівка, 36271",918-16-54,prytulaiustym@example.com
Павличенко,Розалія,Миколаївна,Жіноча,21.09.1960,Перекладач,місто Борщів,"шосе Головна, буд. 584, Глобине, 47075",017 121 87 89,svitlanakaras@example.net
Голобородько,Едита,Олександрівна,Жіноча,21.01.1997,Швачка,хутір Дубно,"парк Василя Стуса, буд. 289 кв. 13, Святогірськ, 31601",344-98-09,operebyinis@example.net
Павлик,Тарас,Володимирович,Чоловіча,07.06.1941,Сценарист,селище Хорол ,"парк Селищна, буд. 1, Ніжин, 11732",341 17 64,anzhelariabets@example.org
Бевзенко,Еріка,Андріївна,Жіноча,31.03.1992,Кінокритик,селище Нове Давидково,"сквер Проектований 3-й, буд. 99, Пирятин, 37280",+380 42 565-19-65,iakivbarannyk@example.org
Онищенко,Вʼячеслав,Єгорович,Чоловіча,21.02.1957,Детектив,селище Косів,"шосе Іванова 2-й, буд. 328, Тальне, 35729",016 924 22 74,boryszakharenko@example.com
Вітрук,Мирон,Єгорович,Чоловіча,08.03.2008,Клоун,хутір Андрушівка,"парк Матроська Слобідка, буд. 7 кв. 27, Чуднів, 76812",+380 42 180-91-01,leon41@example.net
Фоменко,Стефан,Олександрович,Чоловіча,15.12.1988,Інженер,місто Новоселиця,"сквер Ломоносова, буд. 38 кв. 12, Зоринськ, 43945",+380 94 079-94-40,azar67@example.org
Франчук,Алевтин,Петрович,Чоловіча,21.02.1954,Водій,хутір Єнакієве,"площа Терещенка Володимира, буд. 2 кв. 069, Тлумач, 38941",+380 84 627 51 81,kostiantynvelychko@example.com
Салій,Лукʼян,Андрійович,Чоловіча,14.01.2001,Драматург,селище Армянськ,"вулиця Лінія 32-га, буд. 61 кв. 598, Рава-Руська, 72390",+380 68 364 61 65,edyta24@example.com
Абрамчук,Марія,Олександрівна,Жіноча,24.05.1980,Дизайнер,селище Красилів,"сквер Композитора Глинки, буд. 8, Івано-Франківськ, 90801",120-15-72,daryna65@example.org
Луценко,Анастасія,Іванівна,Жіноча,11.08.1985,Палеонтолог,хутір Гадяч,"вулиця Східчастий 3-й, буд. 64 кв. 20, Чугуїв, 20002",072 681 16 81,otsarenko@example.com
Вітер,Віра,Миколаївна,Жіноча,03.06.1958,Зоолог,місто Моспине,"провулок Квітнева, буд. 328, Василівка , 20911",+380 74 860-27-10,klavdiia07@example.net
Артеменко,Руслан,Іванович,Чоловіча,12.02.1957,Кур'єр,місто Комарно,"провулок Селекційний, буд. 46, Сулимівка (Слов'янськ), 25745",+380 23 728-58-21,milena28@example.com
Зінкевич,Софія,Єгорівна,Жіноча,03.09.1987,Астроном,місто Попасна,"шосе Розумовський 1-й, буд. 631 кв. 2, Дніпро , 95275",968 20 23,olha85@example.com
Василевич,Єлисавета,Миколаївна,Жіноча,28.11.2007,Програміст,село Нікополь,"провулок Штурвальна, буд. 10, Конотоп, 49848",866-54-49,jmalyshko@example.net
Ільєнко,Трохим,Сергійович,Чоловіча,21.08.1997,Мікробіолог,селище Хмельницький,"набережна Книжковий, буд. 415 кв. 0, Теплодар, 75356",020 414 13 82,maksymilienko@example.org
Теличенко,Гліб,Іванович,Чоловіча,19.01.1939,Гірничий інженер,хутір Герца,"проспект Писарева, буд. 891, Кадіївка, 46475",+380 (86) 303-44-37,anitahres@example.net
Шелест,Марта,Єгорівна,Жіноча,16.02.1978,Євнух,хутір Підгородне,"парк Залізничний 3-й, буд. 3 кв. 9, Хорол , 57356",691 90 10,ivanbabarychenko@example.com
Нестайко,Альберт,Сергійович,Чоловіча,14.11.1982,Шериф,селище Кобеляки,"площа Махачкалинська, буд. 87, Кипуче, 60490",+380 60 839-58-86,fediroberemko@example.net
Атаманчук,Азар,Михайлович,Чоловіча,27.08.1940,Педагог,хутір Курахове,"сквер Лінія 52-га, буд. 702 кв. 803, Дружба , 48020",+380 (44) 732-19-17,roman49@example.net
Стус,Роман,Іванович,Чоловіча,12.01.2003,Штукатур,селище Бунге ,"провулок Новоселів, буд. 299, Попасна, 30115",075 871 64 85,solomiia95@example.net
Базавлученко,Камілла,Петрівна,Жіноча,19.09.1965,Петрограф,селище Ічня,"сквер Архітекторська, буд. 378, Старий Крим, 75328",+380 (26) 599-84-78,havryliukmartyn@example.net
Дурдинець,Амалія,Петрівна,Жіноча,14.04.1992,Сантехнік,місто Хуст,"площа Південна дорога, буд. 3, Антрацит , 69809",503 48 36,orest25@example.net
Онищенко,Софія,Андріївна,Жіноча,27.08.1998,Біолог,хутір Долинська,"шосе Сурикова 1-й, буд. 7 кв. 90, Кременчук, 50103",+380 42 182-57-13,wvlasiuk@example.net
Бабенко,Адам,Сергійович,Чоловіча,09.04.1957,Електрослюсар,хутір Берестечко,"набережна Першотравневий 1-й, буд. 1 кв. 02, Андрушівка, 15291",+380 68 368-47-62,marusiashyian@example.com
Деряжний,Леопольд,Олександрович,Чоловіча,20.03.1942,Модель,хутір Краматорськ,"узвіз Бреуса, буд. 918 кв. 02, Вінниця, 08899",+380 28 759 11 97,iaremkotereza@example.com
Ящук,Павло,Сергійович,Чоловіча,16.12.1966,Випробувач,село Корець,"проспект Удільний, буд. 2 кв. 4, Львів, 46363",081 642 12 53,darynadotsenko@example.com
Єременко,Віра,Володимирівна,Жіноча,20.04.1938,Дизайнер,селище Чернігів,"шосе Кутузова, буд. 92 кв. 21, Стебник, 66195",220 05 16,zabilaiustym@example.com
Лемешко,Роксолана,Іванівна,Жіноча,10.06.1955,Ювелір,хутір Амвросіївка,"сквер Польова, буд. 84 кв. 27, Макіївка, 14459",+380 25 913-01-09,vlasiukokhrim@example.com
Власюк,Стефан,Миколайович,Чоловіча,28.12.1957,Лікар,селище Бобринець,"вулиця Тупиковий, буд. 611, Кам'янське, 42219",+380 (61) 925-37-11,albina08@example.org
Наливайко,Пантелеймон,Іванович,Чоловіча,13.11.1962,Євнух,селище Перевальськ,"проспект Державіна, буд. 31 кв. 0, Почаїв, 97313",077 053-76-22,hhavrylyshyn@example.com
Хорішко,Демид,Петрович,Чоловіча,31.01.1944,Художник,місто Новояворівськ,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 867 кв. 674, Сарни, 18091",+380 (18) 297-36-13,svitlanababiichuk@example.org
Чміль,Віктор,Петрович,Чоловіча,01.01.1944,Паралегал,хутір Узин,"узвіз Георгія Гамова, буд. 01, Буча, 38252",097 633-51-61,alla33@example.org
Іваничук,Геннадій,Володимирович,Чоловіча,10.07.1956,Намотувальник,місто Білопілля,"проспект Академічний, буд. 907 кв. 3, Кролевець, 44966",+380 77 382-97-25,udovenkoviktor@example.org
Токар,Ілля,Олександрович,Чоловіча,14.01.1944,Юрист,село Борщів,"вулиця 2-га Лінія Марії Демченко, буд. 371, Боково-Хрустальне, 77603",+380 (15) 397-87-34,lukianviter@example.org
Журавель,Сніжана,Іванівна,Жіноча,26.07.1944,Конструктор,хутір Липовець,"шосе Теплична, буд. 833, Одеса, 97958",031 875 64 63,gmasokha@example.net
Нестайко,Вікторія,Михайлівна,Жіноча,31.12.1959,М'ясник,селище Верхньодніпровськ,"набережна Бориса Дерев'янка, буд. 123, Жовква, 87749",+380 27 295 34 76,oksana05@example.net
Власюк,Назар,Михайлович,Чоловіча,21.06.1960,Конструктор,місто Бережани,"сквер Василя Кандинського 5-й, буд. 6, Покровськ, 01761",+380 86 640-66-88,hhunko@example.net
Бабиченко,Роман,Олександрович,Чоловіча,25.11.2005,Патологоанатом,хутір Святогірськ,"проспект Теліги Олени, буд. 6, Хоростків, 56721",049 882 79 54,roksolana70@example.net
Щербак,Володимир,Олександрович,Чоловіча,24.11.2004,Правник,село Дергачі,"сквер Фестивальний, буд. 572 кв. 1, Ужгород, 62256",+380 00 817 66 84,varfolomiihuk@example.org
Перебийніс,Людмила,Андріївна,Жіноча,02.07.1980,Модельєр,місто Старий Самбір,"площа Кришталевий, буд. 553 кв. 485, Надвірна, 85569",615 27 19,tsiutsiuraamvrosii@example.org
Заєць,Михайло,Володимирович,Чоловіча,25.06.1957,Математик,хутір Ніжин,"шосе Сливова, буд. 31 кв. 8, Теплодар, 36623",+380 (16) 135-10-34,xandriishyn@example.org
Ляшко,Пантелеймон,Іванович,Чоловіча,29.07.1965,Літературознавець,хутір Мостиська,"провулок Лінія 33-тя, буд. 731 кв. 60, Чортків, 41156",+380 62 748 87 60,mykolaihaidai@example.org
Харченко,Петро,Андрійович,Чоловіча,16.09.1951,Футболіст,місто Нове Давидково,"проспект Улітіна, буд. 246, Балта, 85192",486 80 65,davydsvyrydenko@example.net
Цимбалюк,Софія,Дмитрівна,Жіноча,04.10.1990,Менеджер,селище Карлівка,"провулок Тираспольське, буд. 816, Батурин, 67391",+380 57 241-34-38,ada84@example.org
Товстоліс,Алевтин,Володимирович,Чоловіча,08.04.1947,Менеджер,місто Славута,"шосе 14-та Суворовська, буд. 1 кв. 7, Пустомити, 20825",041 431 06 88,rubanvasylyna@example.org
Шовкопляс,Павло,Дмитрович,Чоловіча,05.08.1974,Дерун,село Городенка,"набережна Пржевальського, буд. 4, Ржищів, 96162",017 284 81 97,hordii81@example.com
Салій,Герман,Миколайович,Чоловіча,13.05.1949,Електротехнік,хутір Ходорів,"шосе Лінія 29-та, буд. 1 кв. 26, Заставна, 77355",+380 25 701-33-87,urebryk@example.org
Вертипорох,Леонід,Єгорович,Чоловіча,08.02.1994,Локсмайстер,хутір Подільськ,"парк Вапняне селище, буд. 009 кв. 3, Жидачів, 12139",287 76 99,varfolomii65@example.org
Зубко,Хома,Михайлович,Чоловіча,01.12.1968,Парфюмер,місто Калуш,"проспект Серединський, буд. 66, Лохвиця, 36646",076 847-27-18,bhaivoronskyi@example.com
Безбородьки,Марина,Миколаївна,Жіноча,19.11.1982,Дерун,хутір Бердянськ,"сквер Юрія Яновського, буд. 92, Сколе, 46326",068 443-43-22,iukhym09@example.net
Приходько,Клавдія,Михайлівна,Жіноча,08.09.1950,Прокурор,місто Чорнобиль,"шосе Маршрутна, буд. 53 кв. 15, Золотоноша, 70510",014 214-29-11,chaikaklyment@example.com
Якименко,Болеслав,Єгорович,Чоловіча,11.08.1980,Ріелтор,хутір Мена ,"сквер Кільовий, буд. 94 кв. 827, Антрацит , 37068",016 931-31-00,narkhymovych@example.com
Вакуленко,Соломія,Олександрівна,Жіноча,25.01.1968,Письменник,село Бершадь,"провулок Перлинна, буд. 7 кв. 59, Сміла, 88715",+380 09 257-87-01,orestiashchenko@example.net
Яковенко,Панас,Олександрович,Чоловіча,30.01.1984,Візажист,місто Обухів,"сквер Черепанових 2-й, буд. 08 кв. 16, Федорівка, 65085",+380 29 542 77 94,fdutka@example.org
Єрченко,Наталія,Іванівна,Жіноча,23.03.1944,Мистецтвознавець,село Федорівка,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 98 кв. 6, Сватове, 71636",754-38-89,satamanchuk@example.net
Бабариченко,Наталія,Андріївна,Жіноча,28.01.1980,Намотувальник,село Кіцмань,"шосе Достоєвського, буд. 8, Болград, 63673",+380 76 890-03-29,semenchenkohalyna@example.net
Корсун,Юхим,Миколайович,Чоловіча,05.02.1987,Кінорежисер,селище Покровськ,"узвіз Станційна 2-га, буд. 93, Козятин, 61804",944-02-01,pmakohon@example.org
Яценюк,Людмила,Олександрівна,Жіноча,21.07.1952,Кінорежисер,хутір Городок,"проспект Тролейбусна, буд. 81 кв. 556, Ялта, 90032",594 62 58,myron93@example.com
Назаренко,Юстим,Сергійович,Чоловіча,05.02.1969,Різноробочий,хутір Василівка ,"сквер Рибальська, буд. 539, Саки , 30218",+380 41 775 56 67,yshvachko@example.org
Чарниш,Ірина,Андріївна,Жіноча,30.12.1986,Математик,село Балаклія,"сквер Об'їзна дорога, буд. 323 кв. 93, Чорноморськ, 67262",+380 22 369-56-54,iaroslavkolisnychenko@example.org
Андрусенко,Марина,Володимирівна,Жіноча,11.07.1991,Намотувальник,хутір Дрогобич,"шосе Студентський 3-й, буд. 00 кв. 1, Лиман , 57320",030 888 70 38,vtsiutsiura@example.com
Гайдай,Віталій,Андрійович,Чоловіча,23.04.1967,Фармацевт,селище Алупка,"проспект Кропивницького, буд. 0, Зугрес, 07543",+380 69 330-23-62,illia55@example.com
Сірченко,Віра,Єгорівна,Жіноча,06.03.1973,Фармацевт,місто Мостиська,"проспект Новоукраїнський, буд. 4, Скалат, 52320",+380 18 581-54-94,oliinykmykyta@example.org
Байдак,Камілла,Андріївна,Жіноча,07.09.1993,Астронавт,селище Зоринськ,"набережна Нафтовиків, буд. 47, Міусинськ, 53452",+380 (71) 546-53-27,vira62@example.org
Єрошенко,Світлана,Олександрівна,Жіноча,07.04.1938,Філолог,селище Благовіщенське,"набережна Сортувальна 1-ша, буд. 839 кв. 2, Енергодар, 90869",+380 18 760-36-83,trokhym00@example.org
Бабʼяк,Роксолана,Володимирівна,Жіноча,10.03.2000,Музикознавець,село Миколаїв,"вулиця Поштовий, буд. 65, Родинське, 46003",+380 65 573-16-45,lpavlyk@example.net
Шухевич,Левко,Петрович,Чоловіча,18.07.1993,Режисер,хутір Старобільськ,"площа Трамвайна, буд. 8 кв. 33, Часів Яр, 82102",+380 31 336-62-64,onishchuktymofii@example.com
Твердохліб,Ярина,Дмитрівна,Жіноча,27.09.1942,Астроном,місто Снятин,"набережна Леваневського, буд. 7 кв. 71, Новодружеськ, 07808",676-21-77,avrelii01@example.com
Ващенко,Тетяна,Сергіївна,Жіноча,25.07.1953,Біолог,селище Чоп,"провулок 10-та Лінія Марії Демченко, буд. 9, Соледар, 46058",024-79-38,feofan28@example.net
Опанасенко,Арсен,Сергійович,Чоловіча,27.03.1943,Бібліограф,хутір Довжанськ,"шосе Бодаревського, буд. 78, Оріхів, 23759",+380 73 428-91-32,dupliivarfolomii@example.com
Гаєвський,Анастасія,Петрівна,Жіноча,30.10.2004,Гінеколог,місто Глухів,"площа Тираспольське, буд. 7, Шаргород, 24723",837 49 15,irvanetsavhustyn@example.net
Франко,Алла,Олександрівна,Жіноча,08.08.1966,Реабілітолог,селище Хоростків,"вулиця Василя Кандинського, буд. 131 кв. 050, Молодогвардійськ, 87014",+380 86 633 60 57,khrystynadanko@example.org
Зінчук,Гаврило,Володимирович,Чоловіча,10.03.1991,Інженер,селище Монастириська,"парк Ванцетті, буд. 20, Дрогобич, 43849",277 16 01,tymofii04@example.net
